"","Condition","Serotype","Source","Day","Strain","Replicate","Minus","Plus","Log_RD"
"108","NaCl","4b","Salmon",30,"FSL F2-0310",2,9.1,8.73,0.369999999999999
"109","NaCl","1/2a","Environment",1,"FSL L4-0396",3,6.04,4.08,1.96
"110","NaCl","1/2a","Salmon",1,"FSL F2-0237",3,6.51,4.94,1.57
"111","NaCl","1/2b","Environment",1,"FSL L4-0060",3,6.78,5.09,1.69
"112","NaCl","1/2b","Salmon",1,"FSL L3-0051",3,5.6,4.39,1.21
"113","NaCl","4b","Environment",1,"FSL N1-0061",3,6.75,5.35,1.4
"114","NaCl","4b","Salmon",1,"FSL F2-0310",3,6.18,4.67,1.51
"115","NaCl","1/2a","Environment",15,"FSL L4-0396",3,9.13,8.47,0.66
"116","NaCl","1/2a","Salmon",15,"FSL F2-0237",3,9.44,8.61,0.83
"117","NaCl","1/2b","Environment",15,"FSL L4-0060",3,9.29,8.75,0.539999999999999
"118","NaCl","1/2b","Salmon",15,"FSL L3-0051",3,9.15,8.5,0.65
"119","NaCl","4b","Environment",15,"FSL N1-0061",3,9.37,7.81,1.56
"120","NaCl","4b","Salmon",15,"FSL F2-0310",3,9.07,5.1,3.97
"121","NaCl","1/2a","Environment",30,"FSL L4-0396",3,9.28,8.38,0.899999999999999
"122","NaCl","1/2a","Salmon",30,"FSL F2-0237",3,9.37,8.77,0.6
"123","NaCl","1/2b","Environment",30,"FSL L4-0060",3,9.31,8.98,0.33
"124","NaCl","1/2b","Salmon",30,"FSL L3-0051",3,9.16,8.7,0.460000000000001
"125","NaCl","4b","Environment",30,"FSL N1-0061",3,9.34,9.01,0.33
"126","NaCl","4b","Salmon",30,"FSL F2-0310",3,9.26,8.84,0.42
"127","NaCl","1/2a","Environment",1,"FSL L4-0396",4,6.41,4.15,2.26
"128","NaCl","1/2a","Salmon",1,"FSL F2-0237",4,6.64,4.83,1.81
"129","NaCl","1/2b","Environment",1,"FSL L4-0060",4,6.89,5.73,1.16
"130","NaCl","1/2b","Salmon",1,"FSL L3-0051",4,6.44,3.81,2.63
"131","NaCl","4b","Environment",1,"FSL N1-0061",4,6.41,5.2,1.21
"132","NaCl","4b","Salmon",1,"FSL F2-0310",4,6.33,5.38,0.95
"133","NaCl","1/2a","Environment",15,"FSL L4-0396",4,9.09,8.01,1.08
"134","NaCl","1/2a","Salmon",15,"FSL F2-0237",4,9.3,8.62,0.680000000000001
"135","NaCl","1/2b","Environment",15,"FSL L4-0060",4,9.28,8.61,0.67
"136","NaCl","1/2b","Salmon",15,"FSL L3-0051",4,9.27,8.2,1.07
"137","NaCl","4b","Environment",15,"FSL N1-0061",4,9.37,8.55,0.819999999999999
"138","NaCl","4b","Salmon",15,"FSL F2-0310",4,9.33,8.09,1.24
"139","NaCl","1/2a","Environment",30,"FSL L4-0396",4,9.39,8.83,0.56
"140","NaCl","1/2a","Salmon",30,"FSL F2-0237",4,9.27,8.97,0.299999999999999
"141","NaCl","1/2b","Environment",30,"FSL L4-0060",4,9.31,8.94,0.370000000000001
"142","NaCl","1/2b","Salmon",30,"FSL L3-0051",4,9.19,8.4,0.789999999999999
"143","NaCl","4b","Environment",30,"FSL N1-0061",4,9.31,8.96,0.35
"144","NaCl","4b","Salmon",30,"FSL F2-0310",4,9.2,8.6,0.6
"145","pH","1/2a","Environment",1,"FSL L4-0396",1,5.7,6.16,-0.46
"146","pH","1/2a","Salmon",1,"FSL F2-0237",1,5.67,5.19,0.48
"147","pH","1/2b","Environment",1,"FSL L4-0060",1,6.35,4.06,2.29
"148","pH","1/2b","Salmon",1,"FSL L3-0051",1,6.41,3.48,2.93
"149","pH","4b","Environment",1,"FSL N1-0061",1,5.93,5.08,0.85
"150","pH","4b","Salmon",1,"FSL F2-0310",1,6.4,5.89,0.510000000000001
"151","pH","1/2a","Environment",15,"FSL L4-0396",1,9.34,7.42,1.92
"152","pH","1/2a","Salmon",15,"FSL F2-0237",1,8.48,8.64,-0.16
"153","pH","1/2b","Environment",15,"FSL L4-0060",1,9.1,6.66,2.44
"154","pH","1/2b","Salmon",15,"FSL L3-0051",1,8.8,4.57,4.23
"155","pH","4b","Environment",15,"FSL N1-0061",1,8.8,9.25,-0.449999999999999
"156","pH","4b","Salmon",15,"FSL F2-0310",1,8.63,9.22,-0.59
"157","pH","1/2a","Environment",30,"FSL L4-0396",1,9.53,8.95,0.58
"158","pH","1/2a","Salmon",30,"FSL F2-0237",1,9.26,8.37,0.890000000000001
"159","pH","1/2b","Environment",30,"FSL L4-0060",1,9.3,6.54,2.76
"160","pH","1/2b","Salmon",30,"FSL L3-0051",1,9.14,6.3,2.84
"161","pH","4b","Environment",30,"FSL N1-0061",1,8.57,9.04,-0.469999999999999
"162","pH","4b","Salmon",30,"FSL F2-0310",1,9.24,9.24,0
"163","pH","1/2a","Environment",1,"FSL L4-0396",2,5.95,4.66,1.29
"164","pH","1/2a","Salmon",1,"FSL F2-0237",2,5.93,4.65,1.28
"165","pH","1/2b","Environment",1,"FSL L4-0060",2,5.97,4.12,1.85
"166","pH","1/2b","Salmon",1,"FSL L3-0051",2,6.22,4.61,1.61
"167","pH","4b","Environment",1,"FSL N1-0061",2,6.21,4.83,1.38
"168","pH","4b","Salmon",1,"FSL F2-0310",2,6.08,5.41,0.67
"169","pH","1/2a","Environment",15,"FSL L4-0396",2,8.48,8.04,0.440000000000001
"170","pH","1/2a","Salmon",15,"FSL F2-0237",2,9.11,7.62,1.49
"171","pH","1/2b","Environment",15,"FSL L4-0060",2,9.01,7.43,1.58
"172","pH","1/2b","Salmon",15,"FSL L3-0051",2,8.72,7.95,0.77
"173","pH","4b","Environment",15,"FSL N1-0061",2,8.98,8.55,0.43
"174","pH","4b","Salmon",15,"FSL F2-0310",2,8.85,7.53,1.32
"175","pH","1/2a","Environment",30,"FSL L4-0396",2,9.02,8.76,0.26
"176","pH","1/2a","Salmon",30,"FSL F2-0237",2,8.76,8.7,0.0600000000000005
"177","pH","1/2b","Environment",30,"FSL L4-0060",2,9.06,8.37,0.690000000000001
"178","pH","1/2b","Salmon",30,"FSL L3-0051",2,9.09,7.94,1.15
"179","pH","4b","Environment",30,"FSL N1-0061",2,9.12,8.78,0.34
"180","pH","4b","Salmon",30,"FSL F2-0310",2,9.09,8.9,0.19
"181","pH","1/2a","Environment",1,"FSL L4-0396",3,6.28,5.51,0.77
"182","pH","1/2a","Salmon",1,"FSL F2-0237",3,6.47,5.55,0.92
"183","pH","1/2b","Environment",1,"FSL L4-0060",3,6.55,4.79,1.76
"184","pH","1/2b","Salmon",1,"FSL L3-0051",3,5.72,4.32,1.4
"185","pH","4b","Environment",1,"FSL N1-0061",3,6.57,5.1,1.47
"186","pH","4b","Salmon",1,"FSL F2-0310",3,6.38,5.52,0.86
"187","pH","1/2a","Environment",15,"FSL L4-0396",3,9.02,8.79,0.23
"188","pH","1/2a","Salmon",15,"FSL F2-0237",3,9.21,8.94,0.270000000000001
"189","pH","1/2b","Environment",15,"FSL L4-0060",3,9.11,8.67,0.44
