Strain	Lineage	Serotype	Source	Condition	Phase	Replicate	Log_Diff
217	396	I	4b	Salmon	7CQuat	Stationary	2	2.06
218	61	II	1/2a	Environment	7CQuat	Stationary	2	0.7
219	237	I	4b	Environment	7CQuat	Stationary	2	2.24
220	51	II	1/2a	Salmon	7CQuat	Stationary	2	2.51
221	310	I	1/2b	Salmon	7CQuat	Stationary	2	1.83
222	60	I	1/2b	Environment	7CQuat	Stationary	2	3.03
223	396	I	4b	Salmon	7CQuat	Stationary	3	1.64
224	61	II	1/2a	Environment	7CQuat	Stationary	3	2.56
225	237	I	4b	Environment	7CQuat	Stationary	3	2.08
226	51	II	1/2a	Salmon	7CQuat	Stationary	3	NA
227	310	I	1/2b	Salmon	7CQuat	Stationary	3	1.86
228	60	I	1/2b	Environment	7CQuat	Stationary	3	2.2
